stamp_ns,x,y,z,qx,qy,qz,qw
1790244978062067270,0.7205722095206648,0.13772448964509884,-0.035893036025697884,0.007743643554926397,-0.006709585820786866,0.18394852954535099,0.982882473096678
1790244978162067174,0.7535102560020203,0.1533970133686928,-0.004631412222121335,0.007700193006287592,-0.006725254204223214,0.1939329408619333,0.9809615142461622
1790244978262072324,0.7898697899362944,0.1704337270078541,0.02549985051006121,0.007512360861290129,-0.006882370741131944,0.20364317506849347,0.978992162713888
1790244978362067222,0.8253410694895598,0.18232547771493263,0.04340352426747819,0.007449989088137575,-0.007040318776667994,0.21318635542297695,0.9769577828317336
1790244978462072134,0.8577532351718933,0.20453912360391086,0.04356942797123833,0.007424271878256746,-0.007058335878718636,0.22330111269972291,0.9746956823279167
1790244978562057256,0.8949057190891883,0.217961547243783,0.02624221118396048,0.007289231195889988,-0.007111192075456771,0.23313739910348957,0.9723904828796975
1790244978662067174,0.9322765210502355,0.23687117606371622,-0.0024681282767056237,0.0072610206539351265,-0.007224325196216357,0.2427165243039124,0.9700431823038917
1790244978762057304,0.967127171117458,0.2565543190431955,-0.03221298122847316,0.007194122339429128,-0.0071801492360520185,0.2523158845781913,0.9675915380211547
1790244978862062215,1.0013719319118348,0.2775753575536418,-0.04860540722754213,0.007086404552049123,-0.007238170028707849,0.26203163231736093,0.9650061219651189
1790244978962062120,1.0351026245206028,0.2971958076499329,-0.047733770626363276,0.0073195754542571346,-0.007502978869845233,0.27115137902925285,0.9624796407060654
1790244979062062263,1.065684019342372,0.3200834473459384,-0.02804258174167259,0.0069551023313424295,-0.007444105234278007,0.280939488685273,0.9596714101951623
1790244979162062168,1.098139269184317,0.34277890132797445,0.0016861285163768688,0.00693993198668817,-0.007588761835423386,0.2908186169309284,0.9567229379941183
1790244979262067317,1.1300028365853612,0.36748511728251704,0.03098403460342555,0.006950892185323387,-0.007506879974889337,0.3001782682854777,0.9538282545091075
1790244979362072229,1.1635863971484814,0.3840644986047424,0.05013917313055366,0.006644324321683554,-0.0076060265239493215,0.30979324550697934,0.9507503070485744
1790244979462072134,1.196854362352613,0.4070884327889346,0.050579431878038324,0.006780028779159683,-0.0076582467364107246,0.3191067005076798,0.9476635986243512
1790244979562057256,1.226499658037871,0.4307469986554667,0.034423708899703205,0.006656163882840283,-0.007780471439934653,0.32893446127926107,0.9442972413013448
1790244979662067174,1.2600893542926226,0.4571350597981851,0.0049280210870728085,0.006492199308818141,-0.007911791408495681,0.33820373837928847,0.9410172613990571
1790244979762072324,1.28864490252524,0.489508614191832,-0.02486705574694281,0.0064695723940352045,-0.00786605137404006,0.3478514408780561,0.9374943439550667
1790244979862072229,1.3163114336684376,0.5130961191409078,-0.04334457346427313,0.006237661751890115,-0.007777976801654813,0.3570190310587778,0.9340438994578635
