stamp_ns,header_stamp_ns,x,y,z,qx,qy,qz,qw
1790245356879048381,1790244983162072181,1.9357925280438357,1.6335943719160597,0.03238863475931774,0.003440150459215746,-0.009632063091474253,0.6405173866387975,0.7678755538096776
1790245356978186821,1790244983262062311,1.9427641365947128,1.6729854662946522,0.06363195602458557,0.003258199874127453,-0.009676872865351637,0.648204597219586,0.7613977557152473
1790245357080291203,1790244983362062215,1.9502597067743683,1.7065026660798348,0.08115773162497161,0.0031124565265822986,-0.009717128991882333,0.6556853120120476,0.7549653380320683
1790245357182356894,1790244983462072134,1.952501388952435,1.7444118191541218,0.08240039727489719,0.0031364650391813723,-0.009796172449022481,0.6630351459364284,0.7485175968840958
1790245357279577271,1790244983562072277,1.955756575599121,1.7867024621832828,0.06562506930241,0.0030004702299741785,-0.009860239819466968,0.6705369539549618,0.7418045337078859
1790245357381271197,1790244983662057161,1.9631407278584225,1.8264518092017452,0.035448959714807396,0.0029249313518685616,-0.00986519889263899,0.6778736570493034,0.7351064057030576
1790245357478740345,1790244983762072324,1.9655896606501542,1.8652443813297779,0.007251196574624172,0.0027514693954074324,-0.009866859427770804,0.6853504736441903,0.7281413343414499
1790245357579030420,1790244983862057209,1.9667903695725133,1.9063682740835197,-0.011125058715636385,0.002675099598827947,-0.009748505254818416,0.6927185099243609,0.7211372105884319
1790245357681638802,1790244983962072134,1.9670586227369633,1.9494647301295205,-0.009757635174064675,0.002705319945644789,-0.009744332947871501,0.6996514135510377,0.7144127859543676
1790245357779543832,1790244984062072277,1.9649232740827927,1.9887072418242784,0.007089230331903369,0.0026071947756914995,-0.009978802796659745,0.7070110759702465,0.7071272618738305
1790245357882484278,1790244984162057161,1.9622701580173023,2.027737932499901,0.03977191109990422,0.0025478561147621905,-0.009891664029960119,0.7139122639829235,0.7001606549545175
1790245357977449300,1790244984262067317,1.9644261231310378,2.063403096287903,0.07016595164162324,0.0023935373459357838,-0.009892725222546195,0.7208841475748401,0.6929808444261343
1790245358078670738,1790244984362062215,1.9583899844352344,2.100563322886542,0.09003186618601998,0.002242968648093387,-0.009925307032586327,0.7276881424270489,0.6858326506828253
1790245358177759905,1790244984462057113,1.9574470354976348,2.145050374819921,0.0891378513881009,0.002173627521328165,-0.009966870471456236,0.73458930439071,0.6784353253706482
1790245358278768444,1790244984562072277,1.9600569892364241,2.1824538318860944,0.07084203380281474,0.002064868377209191,-0.010212688759111755,0.7411500768137621,0.6712585202032436
